Unnamed: 0,Date,Venue,URL,Setlist,Notes
334,"October 4, 1972",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-october-4-1972,,
335,"October 5, 1972",Kokaido,https://www.ledzeppelin.com/show/kokaido-october-5-1972,,
336,"October 9, 1972",Festival Hall,https://www.ledzeppelin.com/show/festival-hall-october-9-1972,,
337,"October 10, 1972",Kaikan Hall,https://www.ledzeppelin.com/show/kaikan-hall-october-10-1972,,
338,"October 28, 1972",Pavillon (Montreux),https://www.ledzeppelin.com/show/pavillon-montreux-october-28-1972,,
339,"October 29, 1972",Pavillon (Montreux),https://www.ledzeppelin.com/show/pavillon-montreux-october-29-1972,,
340,"November 30, 1972",City Hall (Newcastle),https://www.ledzeppelin.com/show/city-hall-newcastle-november-30-1972,,
341,"December 1, 1972",City Hall (Newcastle),https://www.ledzeppelin.com/show/city-hall-newcastle-december-1-1972,,
342,"December 3, 1972",Green's Playhouse,https://www.ledzeppelin.com/show/greens-playhouse-december-3-1972,,
343,"December 4, 1972",Green's Playhouse,https://www.ledzeppelin.com/show/greens-playhouse-december-4-1972,,
344,"December 7, 1972",Hard Rock,https://www.ledzeppelin.com/show/hard-rock-december-7-1972,,
345,"December 8, 1972",Hard Rock,https://www.ledzeppelin.com/show/hard-rock-december-8-1972,,
346,"December 11, 1972",Capitol Theatre,https://www.ledzeppelin.com/show/capitol-theatre-december-11-1972,,
347,"December 12, 1972",Capitol Theatre,https://www.ledzeppelin.com/show/capitol-theatre-december-12-1972,,
348,"December 16, 1972",Birmingham Odeon,https://www.ledzeppelin.com/show/birmingham-odeon-december-16-1972,,
349,"December 17, 1972",Birmingham Odeon,https://www.ledzeppelin.com/show/birmingham-odeon-december-17-1972,,
350,"December 20, 1972",Brighton Dome,https://www.ledzeppelin.com/show/brighton-dome-december-20-1972,,
351,"December 22, 1972",Alexandra Palace,https://www.ledzeppelin.com/show/alexandra-palace-december-22-1972,,
352,"December 23, 1972",Alexandra Palace,https://www.ledzeppelin.com/show/alexandra-palace-december-23-1972,,
353,"January 2, 1973",City (Oval) Hall,https://www.ledzeppelin.com/show/city-hall-sheffield-january-2-1973,,
354,"January 7, 1973",New Theatre,https://www.ledzeppelin.com/show/new-theatre-january-7-1973,,
355,"January 14, 1973",Liverpool Empire,https://www.ledzeppelin.com/show/liverpool-empire-january-14-1973,,
356,"January 15, 1973",Trentham Gardens,https://www.ledzeppelin.com/show/trentham-gardens-january-15-1973,,
357,"January 16, 1973",King's Hall,https://www.ledzeppelin.com/show/kings-hall-january-16-1973,,
358,"January 18, 1973",St. George's Hall,https://www.ledzeppelin.com/show/st-georges-hall-january-18-1973,,
359,"January 21, 1973",Gaumont Theatre,https://www.ledzeppelin.com/show/gaumont-theatre-january-21-1973,,
360,"January 22, 1973","Southampton University (The Old Refectory, Student Union Building)",https://www.ledzeppelin.com/show/southampton-university-january-22-1973,,
361,"January 25, 1973",Aberdeen Music Hall,https://www.ledzeppelin.com/show/aberdeen-music-hall-january-25-1973,,
362,"January 27, 1973",Caird Hall,https://www.ledzeppelin.com/show/caird-hall-january-27-1973,,
363,"January 28, 1973",King's Theatre,https://www.ledzeppelin.com/show/kings-theatre-january-28-1973,,
364,"January 30, 1973",Guildhall,https://www.ledzeppelin.com/show/guildhall-january-30-1973,,
365,"March 2, 1973",K. B. Hallen,https://www.ledzeppelin.com/show/k-b-hallen-march-2-1973,,
366,"March 4, 1973",Scandinavium Arena,https://www.ledzeppelin.com/show/scandinavium-arena-march-4-1973,,
367,"March 6, 1973",Kungliga Tennishallen,https://www.ledzeppelin.com/show/kungliga-tennishallen-march-6-1973,,
368,"March 14, 1973",Messezentrum Halle A,https://www.ledzeppelin.com/show/messenhalle-march-14-1973,,
369,"March 16, 1973",Wiener Stadthalle,https://www.ledzeppelin.com/show/wiener-stadhalle-march-16-1973,,
370,"March 17, 1973",Olympia Halle,https://www.ledzeppelin.com/show/olympia-halle-march-17-1973,,
371,"March 19, 1973",Deutschlandhalle,https://www.ledzeppelin.com/show/deutschlandhalle-march-19-1973,,
372,"March 21, 1973",Musikhalle,https://www.ledzeppelin.com/show/musikhalle-march-21-1973,,
373,"March 22, 1973",Grugahalle,https://www.ledzeppelin.com/show/grugahalle-march-22-1973,,
374,"March 24, 1973",Ortenau-Halle,https://www.ledzeppelin.com/show/orthenau-halle-march-24-1973,,
375,"March 26, 1973",Palais de Sports,https://www.ledzeppelin.com/show/palais-de-sports-march-26-1973,,
376,"March 27, 1973",Parc des Expositions,https://www.ledzeppelin.com/show/parc-des-expositions-march-27-1973,,
377,"April 1, 1973",Centre Sportif,https://www.ledzeppelin.com/show/centre-sportif-april-1-1973,,
378,"April 2, 1973",Centre Sportif,https://www.ledzeppelin.com/show/centre-sportif-april-2-1973,,
379,"May 4, 1973",Atlanta Stadium,https://www.ledzeppelin.com/show/atlanta-stadium-may-4-1973,,
380,"May 5, 1973",Tampa Stadium,https://www.ledzeppelin.com/show/tampa-stadium-may-5-1973,,
381,"May 7, 1973",Jacksonville Coliseum,https://www.ledzeppelin.com/show/jacksonville-coliseum-may-7-1973,,
382,"May 10, 1973",Memorial Coliseum (U. of AL),https://www.ledzeppelin.com/show/memorial-coliseum-u-al-may-10-1973,,
383,"May 11, 1973",Arena (St. Louis),https://www.ledzeppelin.com/show/missouri-arena-may-11-1973,,
384,"May 13, 1973",Municipal Auditorium (AL),https://www.ledzeppelin.com/show/municipal-auditorium-al-may-13-1973,,
385,"May 14, 1973",Municipal Auditorium (LA),https://www.ledzeppelin.com/show/municipal-auditorium-la-may-14-1973,,
386,"May 16, 1973",Sam Houston Coliseum,https://www.ledzeppelin.com/show/sam-houston-coliseum-may-16-1973,,
387,"May 18, 1973",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-may-18-1973,,
388,"May 19, 1973",Tarrant County Convention Center,https://www.ledzeppelin.com/show/tarrant-county-convention-center-may-19-1973,,
389,"May 22, 1973",Convention Arena (HemisFair),https://www.ledzeppelin.com/show/convention-arena-hemisfair-may-22-1973,,
390,"May 23, 1973",University of NM,https://www.ledzeppelin.com/show/university-nm-may-23-1973,,
391,"May 25, 1973",Denver Coliseum,https://www.ledzeppelin.com/show/denver-coliseum-may-25-1973,,
392,"May 26, 1973",Salt Palace,https://www.ledzeppelin.com/show/salt-palace-may-26-1973,,
393,"May 28, 1973",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-may-28-1973,,
394,"May 31, 1973",The Forum,https://www.ledzeppelin.com/show/forum-may-31-1973,,
395,"June 2, 1973",Kezar Stadium,https://www.ledzeppelin.com/show/kezar-stadium-june-2-1973,,
396,"June 3, 1973",The Forum,https://www.ledzeppelin.com/show/forum-june-3-1973,,
397,"July 6, 1973",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-july-6-1973,,
398,"July 7, 1973",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-july-7-1973,,
399,"July 9, 1973",Civic Center (St. Paul),https://www.ledzeppelin.com/show/civic-center-st-paul-july-9-1973,,
400,"July 10, 1973",Milwaukee Arena,https://www.ledzeppelin.com/show/milwaukee-arena-july-10-1973,,
401,"July 12, 1973",Cobo Hall,https://www.ledzeppelin.com/show/cobo-hall-july-12-1973,,
402,"July 13, 1973",Cobo Hall,https://www.ledzeppelin.com/show/cobo-hall-july-13-1973,,
403,"July 15, 1973",Buffalo Memorial Auditorium,https://www.ledzeppelin.com/show/buffalo-memorial-auditorium-july-15-1973,,
404,"July 17, 1973",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-july-17-1973,,
405,"July 18, 1973",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-july-18-1973,,
406,"July 20, 1973",Boston Garden,https://www.ledzeppelin.com/show/boston-garden-july-20-1973,,
407,"July 21, 1973",Civic Center (Providence),https://www.ledzeppelin.com/show/civic-center-providence-july-21-1973,,
408,"July 23, 1973",Civic Center (Baltimore),https://www.ledzeppelin.com/show/civic-center-baltimore-july-23-1973,,
409,"July 24, 1973",Three Rivers Stadium,https://www.ledzeppelin.com/show/three-rivers-stadium-july-24-1973,,
410,"July 27, 1973",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-july-27-1973,,
411,"July 28, 1973",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-july-28-1973,,
412,"July 29, 1973",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-july-29-1973,,
413,"January 11, 1975",Ahoy,https://www.ledzeppelin.com/show/ahoy-january-11-1975,,
414,"January 12, 1975",Vorst Nationaal,https://www.ledzeppelin.com/show/vorst-nationaal-january-12-1975,,
415,"January 18, 1975",Met Center,https://www.ledzeppelin.com/show/met-center-january-18-1975,,
416,"January 20, 1975",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-january-20-1975,,
417,"January 21, 1975",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-january-21-1975,,
418,"January 22, 1975",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-january-22-1975,,
419,"January 24, 1975",Richfield Coliseum,https://www.ledzeppelin.com/show/richfield-coliseum-january-24-1975,,
420,"January 25, 1975",Market Square Arena,https://www.ledzeppelin.com/show/market-square-arena-january-25-1975,,
421,"January 29, 1975",Coliseum (NC),https://www.ledzeppelin.com/show/coliseum-nc-january-29-1975,,
422,"January 31, 1975",Olympia Stadium,https://www.ledzeppelin.com/show/olympia-stadium-january-31-1975,,
423,"February 1, 1975",Civic Arena (Pittsburgh),https://www.ledzeppelin.com/show/civic-arena-pittsburgh-february-1-1975,,
424,"February 3, 1975",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-february-3-1975,,
425,"February 4, 1975",Nassau Coliseum,https://www.ledzeppelin.com/show/nassau-coliseum-february-4-1975,,
426,"February 6, 1975",Montreal Forum,https://www.ledzeppelin.com/show/montreal-forum-february-6-1975,,
427,"February 7, 1975",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-february-7-1975,,
428,"February 8, 1975",Spectrum,https://www.ledzeppelin.com/show/spectrum-february-8-1975,,
429,"February 10, 1975",Capital Centre,https://www.ledzeppelin.com/show/capital-centre-february-10-1975,,
430,"February 12, 1975",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-february-12-1975,,
431,"February 13, 1975",Nassau Coliseum,https://www.ledzeppelin.com/show/nassau-coliseum-february-13-1975,,
432,"February 14, 1975",Nassau Coliseum,https://www.ledzeppelin.com/show/nassau-coliseum-february-14-1975,,
433,"February 16, 1975",Arena (St. Louis),https://www.ledzeppelin.com/show/missouri-arena-february-16-1975,,
434,"February 27, 1975",Sam Houston Coliseum,https://www.ledzeppelin.com/show/sam-houston-coliseum-february-27-1975,,
435,"February 28, 1975",LSU Assembly Center,https://www.ledzeppelin.com/show/lsu-assembly-center-february-28-1975,,
436,"March 3, 1975",Tarrant County Convention Center,https://www.ledzeppelin.com/show/tarrant-county-convention-center-march-3-1975,,
437,"March 4, 1975",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-march-4-1975,,
438,"March 5, 1975",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-march-5-1975,,
439,"March 10, 1975",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-march-10-1975,,
440,"March 11, 1975",Long Beach Arena,https://www.ledzeppelin.com/show/long-beach-arena-march-11-1975,,
441,"March 12, 1975",Long Beach Arena,https://www.ledzeppelin.com/show/long-beach-arena-march-12-1975,,
442,"March 14, 1975",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-march-14-1975,,
443,"March 17, 1975",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-march-17-1975,,
444,"March 19, 1975",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-march-19-1975,,
445,"March 20, 1975",Pacific Coliseum,https://www.ledzeppelin.com/show/pacific-coliseum-march-20-1975,,
446,"March 21, 1975",Seattle Center Coliseum,https://www.ledzeppelin.com/show/seattle-center-coliseum-march-21-1975,,
447,"March 24, 1975",The Forum,https://www.ledzeppelin.com/show/forum-march-24-1975,,
448,"March 25, 1975",The Forum,https://www.ledzeppelin.com/show/forum-march-25-1975,,
449,"March 27, 1975",The Forum,https://www.ledzeppelin.com/show/forum-march-27-1975,,
450,"May 17, 1975",Earls Court Arena,https://www.ledzeppelin.com/show/earls-court-arena-may-17-1975,,
451,"May 18, 1975",Earls Court Arena,https://www.ledzeppelin.com/show/earls-court-arena-may-18-1975,,
452,"May 23, 1975",Earls Court Arena,https://www.ledzeppelin.com/show/earls-court-arena-may-23-1975,,
453,"May 24, 1975",Earls Court Arena,https://www.ledzeppelin.com/show/earls-court-arena-may-24-1975,,
454,"May 25, 1975",Earls Court Arena,https://www.ledzeppelin.com/show/earls-court-arena-may-25-1975,,
455,"April 1, 1977",Memorial Auditorium (Dallas),https://www.ledzeppelin.com/show/memorial-auditorium-dallas-april-1-1977,,
456,"April 3, 1977",The Myriad,https://www.ledzeppelin.com/show/myriad-april-3-1977,,
457,"April 6, 1977",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-april-6-1977,,
458,"April 7, 1977",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-april-7-1977,,
459,"April 9, 1977",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-april-9-1977,,
460,"April 10, 1977",Chicago Stadium,https://www.ledzeppelin.com/show/chicago-stadium-april-10-1977,,
461,"April 12, 1977",Met Center,https://www.ledzeppelin.com/show/met-center-april-12-1977,,
462,"April 13, 1977",Civic Center (St. Paul),https://www.ledzeppelin.com/show/civic-center-st-paul-april-13-1977,,
463,"April 15, 1977",Arena (St. Louis),https://www.ledzeppelin.com/show/arena-st-louis-april-15-1977,,
464,"April 17, 1977",Market Square Arena,https://www.ledzeppelin.com/show/market-square-arena-april-17-1977,,
465,"April 19, 1977",Riverfront Coliseum,https://www.ledzeppelin.com/show/riverfront-coliseum-april-19-1977,,
466,"April 20, 1977",Riverfront Coliseum,https://www.ledzeppelin.com/show/riverfront-coliseum-april-20-1977,,
467,"April 23, 1977",The Omni,https://www.ledzeppelin.com/show/omni-april-23-1977,,
468,"April 25, 1977",Freedom Hall - Kentucky Fair & Expo Center,https://www.ledzeppelin.com/show/freedom-hall-kentucky-fair-expo-center-april-25-1977,,
469,"April 27, 1977",Richfield Coliseum,https://www.ledzeppelin.com/show/richfield-coliseum-april-27-1977,,
470,"April 28, 1977",Richfield Coliseum,https://www.ledzeppelin.com/show/richfield-coliseum-april-28-1977,,
471,"April 30, 1977",Pontiac Silverdome,https://www.ledzeppelin.com/show/pontiac-silverdome-april-30-1977,,
472,"May 18, 1977",Jefferson Civic Center Coliseum,https://www.ledzeppelin.com/show/jefferson-memorial-coliseum-may-18-1977,,
473,"May 19, 1977",LSU Assembly Center,https://www.ledzeppelin.com/show/lsu-assembly-center-may-19-1977,,
474,"May 21, 1977",The Summit,https://www.ledzeppelin.com/show/summit-may-21-1977,,
475,"May 22, 1977",Tarrant County Convention Center,https://www.ledzeppelin.com/show/tarrant-county-convention-center-may-22-1977,,
476,"May 25, 1977",Capital Centre,https://www.ledzeppelin.com/show/capital-centre-may-25-1977,,
477,"May 26, 1977",Capital Centre,https://www.ledzeppelin.com/show/capital-centre-may-26-1977,,
478,"May 28, 1977",Capital Centre,https://www.ledzeppelin.com/show/capital-centre-may-28-1977,,
479,"May 30, 1977",Capital Centre,https://www.ledzeppelin.com/show/capital-centre-may-30-1977,,
480,"May 31, 1977",Coliseum (NC),https://www.ledzeppelin.com/show/coliseum-nc-may-31-1977,,
481,"June 3, 1977",Tampa Stadium,https://www.ledzeppelin.com/show/tampa-stadium-june-3-1977,,
482,"June 7, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-7-1977,,
483,"June 8, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-8-1977,,
484,"June 10, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-10-1977,,
485,"June 11, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-11-1977,,
486,"June 13, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-13-1977,,
487,"June 14, 1977",Madison Square Garden,https://www.ledzeppelin.com/show/madison-square-garden-june-14-1977,,
488,"June 19, 1977",Sports Arena,https://www.ledzeppelin.com/show/sports-arena-june-19-1977,,
489,"June 21, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-21-1977,,
490,"June 22, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-22-1977,,
491,"June 23, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-23-1977,,
492,"June 25, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-25-1977,,
493,"June 26, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-26-1977,,
494,"June 27, 1977",The Forum,https://www.ledzeppelin.com/show/forum-june-27-1977,,
495,"July 17, 1977",Kingdome,https://www.ledzeppelin.com/show/kingdome-july-17-1977,,
496,"July 20, 1977",A.S.U. Activities Center Arena,https://www.ledzeppelin.com/show/asu-activities-center-arena-july-20-1977,,
497,"July 23, 1977",Alameda County Coliseum,https://www.ledzeppelin.com/show/alameda-county-coliseum-july-23-1977,,
498,"July 24, 1977",Alameda County Coliseum,https://www.ledzeppelin.com/show/alameda-county-coliseum-july-24-1977,,
499,"July 23, 1979",Falkoner Theatre,https://www.ledzeppelin.com/show/falkoner-theatre-july-23-1979,,
500,"July 24, 1979",Falkoner Theatre,https://www.ledzeppelin.com/show/falkoner-theatre-july-24-1979,,
501,"August 4, 1979",Knebworth Festival,https://www.ledzeppelin.com/show/knebworth-festival-august-4-1979,,
502,"August 11, 1979",Knebworth Festival,https://www.ledzeppelin.com/show/knebworth-festival-august-11-1979,,
503,"June 17, 1980",Westfalen Halle,https://www.ledzeppelin.com/show/westfalen-halle-june-17-1980,,
504,"June 18, 1980",Sporthalle,https://www.ledzeppelin.com/show/sporthalle-june-18-1980,,
505,"June 20, 1980",Vorst Nationaal,https://www.ledzeppelin.com/show/vorst-nationaal-june-20-1980,,
506,"June 21, 1980",Ahoy,https://www.ledzeppelin.com/show/ahoy-halle-june-21-1980,,
507,"June 23, 1980",Stadthalle (Bremen),https://www.ledzeppelin.com/show/stadthalle-bremen-june-23-1980,,
508,"June 24, 1980",Messehalle 20,https://www.ledzeppelin.com/show/messenhalle-hanover-june-24-1980,,
509,"June 26, 1980",Wiener Stadthalle,https://www.ledzeppelin.com/show/stadthalle-june-26-1980,,
510,"June 27, 1980",Messezentrum Halle A,https://www.ledzeppelin.com/show/messenhalle-june-27-1980,,
511,"June 29, 1980",Hallenstadion,https://www.ledzeppelin.com/show/hallenstadion-june-29-1980,,
512,"June 30, 1980",Festhalle,https://www.ledzeppelin.com/show/festhalle-june-30-1980,,
513,"July 2, 1980",Eisstadion,https://www.ledzeppelin.com/show/eisstadion-july-2-1980,,
514,"July 3, 1980",Eisstadion,https://www.ledzeppelin.com/show/eisstadion-july-3-1980,,
515,"July 5, 1980",Olympia Halle,https://www.ledzeppelin.com/show/olympia-halle-july-5-1980,,
516,"July 7, 1980",Eissporthalle,https://www.ledzeppelin.com/show/eissporthalle-july-7-1980,,
517,"December 10, 2007",The O2 Arena,https://www.ledzeppelin.com/show/o2-arena-december-10-2007,,
